id,key,type,value
137183871,exit_to,regular,Speedway Boulevard;Hollywood Boulevard
137183871,highway,regular,motorway_junction
137184047,source,regular,Bing
137184047,highway,regular,turning_circle
137184060,source,regular,Bing
137184060,highway,regular,turning_circle
137184746,highway,regular,crossing
137186040,ref,regular,84
137186040,highway,regular,motorway_junction
137186152,highway,regular,turning_circle
137186263,source,regular,Bing
137186263,highway,regular,traffic_signals
137186277,highway,regular,turning_circle
137186313,highway,regular,turning_circle
137188049,ref,regular,25
137188049,exit_to,regular,Sloan Road
137188049,highway,regular,motorway_junction
137189309,source,regular,Bing
137189309,highway,regular,traffic_signals
137189309,direction,traffic_signals,forward
137189353,highway,regular,motorway_junction
137189353,left,exit_to,Tropicana Avenue East;University of Nevada Las vegas
137189353,right,exit_to,Tropicana Avenue West
137189368,ref,regular,40
137189368,highway,regular,motorway_junction
137189658,highway,regular,traffic_signals
137189699,highway,regular,traffic_signals
137189699,traffic_signals,regular,signal
137190489,highway,regular,turning_circle
137192000,source,regular,Bing
137192000,highway,regular,turning_circle
137193645,ref,regular,9
137193645,highway,regular,motorway_junction
137193645,old_ref,regular,7
137194688,highway,regular,turning_circle
137194898,highway,regular,turning_circle
137197214,highway,regular,traffic_signals
137197880,name,regular,Rocky Gap 4x4
137197880,surface,regular,unpaved
137199663,highway,regular,motorway_junction
137200520,barrier,regular,gate
137201003,source,regular,Bing
137201003,highway,regular,turning_circle
137202420,highway,regular,traffic_signals
137202420,traffic_signals,regular,signal
137202448,ref,regular,82
137202448,highway,regular,motorway_junction
137202962,power,regular,tower
137204328,source,regular,Bing
137204328,highway,regular,turning_circle
137205822,highway,regular,crossing
137207183,source,regular,Bing
137207183,highway,regular,turning_circle
137208674,ref,regular,36
137208674,highway,regular,motorway_junction
137209450,source,regular,Bing
137209450,highway,regular,turning_circle
137209461,source,regular,Bing
137209461,highway,regular,turning_circle
137209471,source,regular,Bing
137209471,highway,regular,turning_circle
137210231,ref,regular,21
137210231,highway,regular,motorway_junction
137210553,power,regular,portal
137210556,power,regular,tower
137210559,power,regular,portal
137210562,power,regular,portal
137210565,power,regular,tower
137210568,power,regular,tower
137210570,power,regular,tower
137210736,ref,regular,41
137210736,exit_to,regular,NV-159;Charleston Blvd
137210736,highway,regular,motorway_junction
137212537,ref,regular,76A
137212537,highway,regular,motorway_junction
137212843,source,regular,Bing
137212843,highway,regular,turning_circle
137212865,source,regular,Bing
137212865,highway,regular,turning_circle
137212874,source,regular,Bing
137212874,highway,regular,turning_circle
137212887,source,regular,Bing
137212887,highway,regular,turning_circle
137212896,ref,regular,45
137212896,exit_to,regular,Lake Mead Boulevard
137212896,highway,regular,motorway_junction
137212896,old_ref,regular,45A
137213575,highway,regular,turning_circle
137214187,power,regular,tower
137214189,power,regular,tower
137214196,power,regular,tower
137214207,power,regular,tower
137214209,power,regular,tower
137214216,power,regular,tower
137214847,ref,regular,58
137214847,exit_to,regular,NV-604;Apex:Nellis AFB
137214847,highway,regular,motorway_junction
137214903,highway,regular,turning_circle
137215572,highway,regular,turning_circle
137215903,power,regular,tower
137215906,power,regular,tower
137215913,power,regular,tower
137215917,power,regular,tower
137215930,source,regular,Bing
137215930,highway,regular,traffic_signals
137218000,highway,regular,traffic_signals
137218043,highway,regular,turning_circle
137218043,source,regular,Bing
137218055,highway,regular,turning_circle
137218055,source,regular,Bing
137218069,highway,regular,turning_circle
137218069,source,regular,Bing
137219315,highway,regular,crossing
137219315,crossing,regular,uncontrolled
137220328,power,regular,tower
137220332,power,regular,tower
137220798,power,regular,tower
137220927,highway,regular,motorway_junction
137220944,highway,regular,motorway_junction
137221009,highway,regular,traffic_signals
137222768,highway,regular,turning_circle
137222780,highway,regular,turning_circle
137222902,highway,regular,turning_circle
137223524,noexit,regular,yes
137223896,highway,regular,turning_circle
137223924,highway,regular,turning_circle
137223939,highway,regular,turning_circle
137223946,highway,regular,turning_circle
137223971,highway,regular,turning_circle
137224324,highway,regular,turning_circle
137224333,highway,regular,turning_circle
137224343,highway,regular,turning_circle
137224371,highway,regular,turning_circle
137224795,highway,regular,turning_circle
137224988,highway,regular,turning_circle
137225002,highway,regular,turning_circle
137225011,highway,regular,turning_circle
137225024,highway,regular,crossing
137225037,highway,regular,turning_circle
137225037,noexit,regular,yes
137225193,highway,regular,turning_circle
137225286,highway,regular,turning_circle
137225400,source,regular,Yahoo
137225400,highway,regular,turning_circle
137225777,highway,regular,turning_circle
137226310,highway,regular,traffic_signals
137226590,highway,regular,turning_circle
137226791,highway,regular,turning_circle
137227093,highway,regular,turning_circle
137227247,highway,regular,turning_circle
137227262,highway,regular,turning_circle
137227394,highway,regular,turning_circle
137228298,source,regular,Bing
137228298,highway,regular,turning_circle
137228540,source,regular,bing
137228540,highway,regular,turning_circle
137228844,highway,regular,turning_circle
137228942,source,regular,Bing
137228942,highway,regular,turning_circle
137229162,highway,regular,turning_circle
137229529,source,regular,Bing
137229529,highway,regular,turning_circle
137229605,highway,regular,turning_circle
137229747,source,regular,Bing
137229747,highway,regular,turning_circle
137229763,highway,regular,turning_circle
137229814,highway,regular,turning_circle
137230098,source,regular,Bing
137230098,highway,regular,turning_circle
137230178,highway,regular,turning_circle
137230229,source,regular,Bing
137230229,highway,regular,turning_circle
137230239,source,regular,Bing
137230239,highway,regular,turning_circle
137230276,highway,regular,turning_circle
137230282,source,regular,Yahoo
137230282,highway,regular,turning_circle
137230311,source,regular,bing
137230311,highway,regular,turning_circle
137230446,highway,regular,turning_circle
137230461,highway,regular,turning_circle
137230559,highway,regular,turning_circle
137230803,highway,regular,turning_circle
137230878,railway,regular,level_crossing
137230878,bell,crossing,no
137230878,light,crossing,no
137230878,barrier,crossing,no
137231042,highway,regular,turning_circle
137231093,source,regular,Bing
137231093,highway,regular,turning_circle
137231319,highway,regular,turning_circle
137231471,highway,regular,turning_circle
137231485,highway,regular,turning_circle
137231569,highway,regular,turning_circle
